ID,m/z,rt(s),Name,adduct,HMDB,KEGG,SuperClass,Class,SubClass,HT_1,HT_2,HT_3,HT_4,HT_5,LT_1,LT_2,LT_3,LT_4,LT_5,MT_1,MT_2,MT_3,MT_4,MT_5,QC_1,QC_2,QC_3,HT_mean,MT_mean,LT_mean,QC_mean,log2FC_HT_vs_LT,log2FC_MT_vs_LT,log2FC_HT_vs_MT,p_HT_vs_LT,p_MT_vs_LT,p_HT_vs_MT
M411T198,411.33136,198.436,.beta.-tocotrienol,[M+H]+,,C14154,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,62778.6464910349,65884.712773539,58822.0600318117,55022.2525478919,61690.727317311,22904.5772299161,16707.6223213188,20050.5963820931,15519.1236054747,18154.0108728095,22111.218874105,22037.0749198021,22543.471310778,21918.0796875717,22405.1781996897,32567.4837011435,32267.7782398906,32567.5205891366,60839.679832317706,22203.0045983893,18667.18608232244,32467.594176723564,1.704454520688863,0.25023814388652155,1.4542163768023415,6.907545374699414e-08,0.02683953450530465,2.84445705308149e-08
M430T358,430.1976,358.106,"[4,8-dihydroxy-3-(3-methoxy-3-oxoprop-1-en-2-yl)-8a-methyl-5-oxo-1,2,3,4,4a,6,7,8-octahydronaphthalen-2-yl] 3,4-dihydroxy-2-methylidenebutanoate",[M+NH4]+,,,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,29699.5245260722,34175.4926872945,29656.8907657713,25436.8183862247,28727.5781942143,19927.5615237251,17914.5411283737,16848.5980797899,16935.36398261,19086.8034702723,5849.12323270674,5366.28993186639,6168.09097148833,6624.26325828477,5219.82586403834,17413.051645016,17413.1439670432,17468.1622635237,29539.2609119154,5845.518651676914,18142.573636954203,17431.4526251943,0.7032239253166713,-1.6338089201872068,2.3370328455038782,6.982950323300232e-05,6.732083592690847e-08,1.6876173120592934e-07
M508T209_2,508.38262,208.654,1-(1z-octadecenyl)-sn-glycero-3-phosphocholine,[M+H]+,HMDB0013122,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,19665.6546573824,21781.364483847,20159.5190880921,17837.6419660564,19308.3759351113,5004.28829758614,4730.38208776834,5189.47598305814,4041.3115686261,3883.68956042761,4496.29080562815,4799.72605443123,3629.07188347206,4167.97003686954,4544.53263163564,9512.9847633745,9513.39377916711,9334.12174885327,19750.511226097842,4327.5182824073245,4569.829499493267,9453.500097131626,2.1114351310546398,-0.07858275169528783,2.1900178827499275,1.9074462252138783e-08,0.4820295365531147,1.3384443607902415e-08
M149T33_1,149.02208,33.351,"1,2-benzenedicarboxylic acid",[M+H-H2O]+,HMDB0002107,C01606,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,41457.0943781309,44120.2122976246,2468.02648426134,6011.88592079323,2907.72197413212,238337.662746032,187461.6582355,213232.843605846,107300.845778958,241933.835017129,181657.382775442,189721.961816914,170168.711008617,182940.443789122,175613.247844955,151637.079956827,151740.282917309,145640.772263904,19392.98821098844,180020.34944701,197653.369076693,149672.71171267997,-3.349298428550779,-0.13481183411252412,-3.214486594438255,0.0001455230043445681,0.49807991742417324,2.527337948798662e-07
M514T396,514.25772,396.371,"1,2-bis(heptanoylthio) glycerophosphocholine",[M+H]+,,,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,4216.25467709794,4974.63237699851,4360.80732106997,5301.54219070631,5518.04715072765,1998.88857020015,1198.29026605245,1132.30264973938,2480.2689111254,2708.18700785413,3192.0143984268,2423.89036232238,4553.06025186194,5982.87764104558,3201.62967111468,3292.34595385212,3252.69506958084,3253.19137289352,4874.256743320076,3870.6944649542756,1903.5874809943023,3266.0774654421602,1.3559996419240659,1.0234865518226695,0.33251309010139624,9.059145641565115e-05,0.023904295231027065,0.1778993460602058
M97T123,97.07521,122.927,"1,2-dimethylimidazole",[M+H]+,,,Organoheterocyclic compounds,Azoles,Imidazoles,49693.3169175814,58146.792972223,40476.6473358321,41774.4006418421,47891.1332716852,4232.72206878261,5533.69469956471,5418.38573124226,4883.42285267392,4634.5059368105,12661.1478882306,11402.5672267328,12367.2964685283,13395.1173228548,14713.5265517416,21146.4458810969,21147.8324281484,22010.2167367673,47596.45822783276,12907.93109161762,4940.5462578148,21434.8316820042,3.267850082761482,1.3853350941220968,1.8825149886393848,9.0170637906564e-07,1.0383984118408286e-06,4.779893402282802e-06
M831T94,830.55633,93.986,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",(M-H+2Na)+,,,,,,10880.9105282604,8996.2961944611,9419.275358571,11179.0937430157,12644.2525176999,2042.90073424114,5440.5969090018,6197.31859558408,4825.95371302306,2239.46444948445,8971.40478460069,10035.5115326614,10258.8132679086,8313.35883936471,8486.06238232544,8431.30307574525,9102.20862892094,8433.68123612574,10623.965668401619,9213.030161372168,4149.246880266906,8655.730980263977,1.3561891157697192,1.1506351617828898,0.2055539539868293,0.00030832872653088636,0.0006440604843725176,0.10258426404357938
M391T361,391.10505,361.177,"1,3-Dimethyluric acid",(2M-H)-,,,,,,54326.4537416913,103979.937865507,68990.8753169481,87602.1624007823,81232.8655404799,48095.4627492548,33999.404596558,28704.5534452305,31267.1346863449,28714.2149974572,44736.6348909504,53569.3951978022,43601.8662922842,39852.14575474,40186.2362303421,49701.4644462837,48823.330902984,50129.0475223265,79226.45897308172,44389.25567322377,34156.15409496908,49551.28095719807,1.2138127545230244,0.37805524060305745,0.8357575139199671,0.0011540526236729033,0.04804876411356418,0.004081147584948337
M409T204,409.3412,204.07,1-[1-(1-methylcyclooctyl)-4-piperidinyl]-2-[(3r)-3-piperidinyl]-1h-benzimidazole,[M+H]+,,,,,,215797.48085705,247387.553402495,215880.883781668,189497.196657765,233052.365823991,44403.3005478167,39461.404543583,49556.480655378,41401.7373873548,44692.4240750832,65135.1556135974,67100.2339503485,64837.0977598561,57797.7705731474,57673.3008813485,99925.3092532121,101085.391340972,99919.6673282135,220323.09610459377,62508.711755659584,43903.06944184314,100310.1226407992,2.3272007127584504,0.5097256814912071,1.8174750312672432,9.743754647840836e-08,0.00010317816577198398,2.4203424143140636e-07
M239T159,239.14945,158.652,12-hydroxydodecanoic acid,[M+Na]+,HMDB0002059,C08317,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,29747.8197652554,46892.9562945247,44077.4689679715,39957.6390954575,22048.6635109482,13288.5631711852,17652.1804734379,12001.3435918945,18206.3676101247,6973.36119439207,18841.5364027081,4788.51388064252,14885.6913471309,19549.3214730255,15437.010469777,15528.0989434114,17555.9114229785,16140.2436026219,36544.909526831456,14700.414714656805,13624.363208206874,16408.084656337265,1.4234152507238231,0.10966030404657406,1.313754946677249,0.001969479808942527,0.7558818764275425,0.0034990435480516512
